UMAP_1,UMAP_2,kmeans_cluster
0.93783545,5.149455,10
0.14170471,6.740008,8
0.1967534,6.5324616,8
7.7433877,-3.8714209,4
6.492109,-9.319105,6
6.7403836,-9.052493,6
10.904447,-0.62986284,13
9.289919,-6.2973933,14
10.995474,-0.29897165,13
6.2919784,-9.197317,6
3.7978425,-5.024666,0
7.4531827,-3.1572857,4
0.7343266,3.6362662,10
6.6843047,-9.217939,6
18.323927,4.435245,16
-9.095496,3.8321154,5
7.7818747,0.29835427,9
7.478963,0.36341223,9
11.0184965,-0.35937124,13
7.0061812,-9.520625,6
7.782145,0.2860588,9
6.613603,-9.086785,6
6.394481,-9.594282,6
9.2569065,-6.299543,14
7.6377463,0.53214675,9
7.0140786,-9.536794,6
6.431735,-9.09299,6
3.6665344,-4.876295,0
7.002058,-9.541707,6
9.496215,-6.2349606,14
7.000367,-9.523868,6
6.3748226,-9.093594,6
1.0019331,3.8764436,10
7.488034,0.38934243,9
3.8030107,4.1088095,2
6.186438,-9.357366,6
9.340913,-6.367534,14
7.450857,0.42419866,9
6.94799,-9.514226,6
11.029328,-0.3866897,13
6.4985285,-9.329256,6
7.37297,-3.291939,4
7.827757,0.7646205,9
6.907536,-7.297174,6
10.908245,-0.6033093,13
6.908575,-7.320991,6
6.514811,-9.058892,6
1.0156153,3.6652954,10
7.0998473,-3.3199615,4
17.688467,4.4978294,16
18.962393,3.1702461,16
18.959932,3.2040045,16
18.681374,5.6901903,16
6.509693,-9.326694,6
-8.930795,3.6298873,5
6.9906716,-9.532788,6
3.7860687,4.119999,2
9.481123,-6.163588,14
6.975067,-9.25527,6
9.521972,-6.1844816,14
9.875116,-1.1332465,13
17.355724,6.4873195,3
10.992062,-0.369836,13
9.315171,-6.2134633,14
6.943048,-9.180752,6
3.8706157,-5.053983,0
7.384827,-3.235209,4
9.842323,-1.1982807,13
6.948773,-7.305797,6
6.983277,-9.50802,6
0.7292526,3.7176564,10
9.433389,-6.1700726,14
3.8992932,-4.9778953,0
11.035732,-0.37254262,13
10.989176,-0.3493699,13
10.961399,-0.24184123,13
9.358569,-6.3859625,14
6.5810976,-9.2671995,6
18.766724,3.3875113,16
1.0118006,3.8463025,10
10.8968315,-0.6122369,13
3.5539072,4.6729574,2
18.67396,4.62344,16
18.059671,4.8175225,16
6.882658,-7.3189635,6
9.480996,-6.121914,14
6.5096397,-9.344042,6
7.0135975,-9.568832,6
6.9028325,-9.515319,6
0.089354396,6.5181293,8
7.4453673,-3.244181,4
10.994268,-0.46763632,13
7.4756613,-3.3215356,4
7.361655,-3.3055403,4
6.9763403,-9.200135,6
11.063303,-0.20517,13
18.092945,3.7640119,16
6.295456,7.682014,7
18.09396,5.4810596,16
6.8807197,-9.510255,6
6.942926,-9.395198,6
9.355821,-6.365646,14
7.230098,-3.116376,4
11.185765,-0.44805205,13
-8.914856,3.5633051,5
11.032364,-0.4371479,13
6.3387904,-8.827458,6
6.142575,-9.404547,6
7.383614,-3.2668495,4
18.08448,3.781055,16
7.3130984,-3.347151,4
18.804405,3.3748724,16
16.10482,5.7676697,3
9.423999,-6.3817525,14
18.854391,3.3060942,16
7.5350256,0.3349545,9
7.7334476,0.4192832,9
0.25762206,6.8017054,8
6.332136,-9.098995,6
7.4744315,0.36318204,9
9.289846,-6.426492,14
6.889402,-9.35365,6
6.6028256,-9.479603,6
3.9247897,-5.007653,0
7.1420264,-3.3135417,4
18.686687,4.6418786,16
2.2040064,5.5721536,2
8.977105,-6.053978,14
10.912354,-0.64146763,13
7.604995,0.4827428,9
6.320347,-9.122832,6
7.3935995,-3.2888498,4
6.951154,-9.156771,6
9.363765,-6.316465,14
6.9171076,-7.318609,6
9.543252,-6.138328,14
6.8550673,-9.231927,6
7.3643794,-3.2576547,4
9.341863,-6.4322557,14
11.008719,-0.4245486,13
11.043468,-0.39743537,13
6.195594,-9.355901,6
7.3076954,-3.3967547,4
7.0037146,-9.3484955,6
3.779708,-5.0611277,0
6.4004903,-9.11299,6
18.67304,4.62338,16
6.2133994,-9.349431,6
7.4974627,0.40939745,9
6.876535,-7.264515,6
7.030656,-9.544851,6
6.1858444,-9.349776,6
7.704638,-3.7798445,4
7.3764424,-3.3101037,4
7.4460044,-3.3322651,4
6.5241337,-9.073639,6
0.8544553,3.9627333,10
7.4419246,-3.1633549,4
-9.104742,3.8425791,5
6.530563,-9.042794,6
18.684103,4.6217904,16
18.088148,3.7808943,16
6.7786336,-7.197205,6
6.695173,-9.1566305,6
1.0233372,3.6492522,10
10.847285,-0.06412103,13
6.890048,-7.3376865,6
6.6683893,-9.10018,6
-8.36116,3.712866,5
0.9629906,5.1372128,10
0.9460078,3.8669784,10
18.79882,3.4800634,16
0.96471786,3.9096987,10
6.5481243,-9.06291,6
8.895012,-6.338404,14
6.432405,-9.355177,6
18.336655,4.3976507,16
7.28939,-3.3196363,4
7.7195234,-3.820264,4
3.844975,-4.954342,0
8.793523,-6.2909455,14
9.571377,-6.1504045,14
6.9171863,-9.202468,6
6.429748,-8.557197,6
11.078998,-0.1735775,13
18.092512,3.758432,16
10.726722,-0.09154606,13
6.4607096,-9.329718,6
7.568132,-3.607294,4
16.049063,5.6664786,3
7.3623586,-3.2684293,4
3.7888565,4.0879774,2
-9.099266,3.8297992,5
0.92796093,3.5720017,10
0.23415422,6.7797914,8
6.7059116,-8.295165,6
6.904597,-8.84472,6
7.012446,-9.538745,6
10.318776,-0.5475974,13
18.063913,3.787389,16
18.842573,3.2455478,16
18.939081,3.1793485,16
0.9426106,5.126305,10
18.083422,3.7933002,16
6.41652,-9.266024,6
18.968216,3.2406092,16
7.497188,0.34803277,9
6.1176124,-2.9235303,4
9.306467,-6.40151,14
6.4670243,-8.924561,6
6.8689914,-7.385053,6
3.735236,-4.9752874,0
18.13828,5.484234,16
9.337955,-6.149842,14
9.277688,-6.1703887,14
10.272456,-0.49657565,13
0.8266374,3.884062,10
18.680473,4.6457896,16
