umap_n_neighbors,umap_min_dist,dbscan_eps,dbscan_min_samples,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz
60,0.0,0.15,50,53,0.006325894140806441,0.6533088088035583,0.41157516255571536,673490.6875
10,0.0,0.25,50,38,0.00409192453164053,0.6530339121818542,0.388618051249724,238473.4375
15,0.0,0.3,20,32,6.63555329455221e-05,0.6529039144515991,0.35812153482231435,241458.515625
15,0.0,0.3,50,31,0.0006856738404370618,0.6527237296104431,0.3613046150134225,249284.46875
60,0.0,0.2,10,31,0.00042025170865497336,0.6525012850761414,0.4567748750268044,520133.84375
60,0.05,0.4,50,18,4.4237021963681406e-05,0.652498722076416,0.4422827563465068,268750.375
40,0.05,0.4,15,20,2.2118510981840703e-05,0.652349591255188,0.42720177696407824,206467.4375
60,0.1,0.3,5,18,4.4237021963681406e-05,0.6520757079124451,0.4363071630776585,236864.953125
10,0.0,0.5,30,24,0.0005529627745460175,0.651663601398468,0.41896215271415577,176751.65625
15,0.0,0.3,30,31,0.000663555329455221,0.6516449451446533,0.3614161167599792,249296.8125
40,0.05,0.2,5,30,0.0005529627745460175,0.651188850402832,0.38906092012172455,306272.21875
40,0.1,0.2,10,29,0.0007299108624007432,0.6508604884147644,0.4064035474242365,243529.390625
40,0.05,0.5,20,18,0.00039813319767313264,0.6508113145828247,0.41284647068717645,170414.15625
40,0.05,0.5,30,18,0.00039813319767313264,0.6508113145828247,0.41284647068717645,170414.15625
40,0.05,0.5,50,18,0.00039813319767313264,0.6508113145828247,0.41284647068717645,170414.15625
40,0.05,0.4,30,20,0.00042025170865497336,0.650583028793335,0.42373907186679743,206747.625
40,0.05,0.4,50,20,0.00042025170865497336,0.650583028793335,0.42373907186679743,206747.625
15,0.0,0.3,10,31,6.63555329455221e-05,0.6498186588287354,0.3636602280644451,244973.34375
15,0.0,0.3,15,31,6.63555329455221e-05,0.6498186588287354,0.3636602280644451,244973.34375
25,0.0,0.15,10,43,0.0012386366149830794,0.6496687531471252,0.3854968930328343,400642.5
40,0.05,0.5,5,18,2.2118510981840703e-05,0.6491403579711914,0.41403617849537105,170485.78125
40,0.05,0.5,10,18,2.2118510981840703e-05,0.6491403579711914,0.41403617849537105,170485.78125
40,0.05,0.5,15,18,2.2118510981840703e-05,0.6491403579711914,0.41403617849537105,170485.78125
25,0.0,0.2,50,44,0.0035389617570945123,0.64838707447052,0.38671249592081375,403079.5625
60,0.0,0.1,5,45,0.002587865784875362,0.6482650637626648,0.45050996659929116,581010.4375
40,0.0,0.15,20,43,0.001946428966401982,0.6478114128112793,0.429050894618361,561562.75
25,0.0,0.15,50,57,0.011302559111720598,0.6475724577903748,0.4220909400311666,529097.5
60,0.1,0.3,30,19,0.0002654221317820884,0.6467264890670776,0.4341611858328338,227594.0625
25,0.05,0.5,30,17,0.000663555329455221,0.6466497778892517,0.4928389481441782,204068.734375
40,0.0,0.15,5,39,0.0007299108624007432,0.6466065645217896,0.3921016591579996,492512.9375
15,0.0,0.3,5,30,4.4237021963681406e-05,0.6454736590385437,0.37739001823424634,252383.03125
40,0.05,0.4,5,19,2.2118510981840703e-05,0.6452565789222717,0.4078007025310862,161041.234375
40,0.05,0.4,10,19,2.2118510981840703e-05,0.6452565789222717,0.4078007025310862,161041.234375
25,0.0,0.2,30,39,0.002034903010329345,0.6451605558395386,0.3885058262510085,394448.53125
60,0.05,0.25,20,24,0.00035389617570945125,0.6451360583305359,0.3906959895016187,310532.46875
60,0.05,0.2,50,40,0.003052354515494017,0.644787609577179,0.39916708161998005,474384.90625
60,0.05,0.25,15,24,0.00030965915374576986,0.6445021033287048,0.39069986609040636,310518.96875
60,0.1,0.3,10,19,0.0001327110658910442,0.6444236636161804,0.43418261677130365,227537.078125
60,0.1,0.3,15,19,0.0001327110658910442,0.6444236636161804,0.43422734677844355,227540.21875
40,0.05,0.25,50,32,0.001327110658910442,0.6442520618438721,0.4136551657210865,273670.8125
15,0.0,0.5,20,25,0.0,0.6441875100135803,0.4061231161477348,209974.515625
60,0.1,0.3,20,19,0.00015482957687288493,0.6432979702949524,0.4342148793280588,227552.296875
25,0.0,0.2,20,40,0.0008405034173099467,0.6432300806045532,0.3843227605240288,384777.65625
10,0.0,0.2,20,43,0.0011722810820375571,0.6431451439857483,0.37544859432984273,192181.375
60,0.05,0.2,15,33,0.0006414368184733803,0.6429156064987183,0.43072894108661064,438856.3125
60,0.05,0.3,50,20,0.00030965915374576986,0.6426304578781128,0.42941948090449167,246242.34375
10,0.0,0.5,5,25,0.0,0.6424896717071533,0.41358800041276816,169514.296875
10,0.0,0.5,10,25,0.0,0.6424896717071533,0.41358800041276816,169514.296875
10,0.0,0.5,15,25,0.0,0.6424896717071533,0.41358800041276816,169514.296875
10,0.0,0.5,20,25,0.0,0.6424896717071533,0.41358800041276816,169514.296875
15,0.0,0.5,30,24,0.000597199796509699,0.6424680948257446,0.4123786837057776,218918.96875
15,0.0,0.5,50,24,0.000597199796509699,0.6424680948257446,0.4123786837057776,218918.96875
25,0.0,0.15,5,40,0.0009510959722191502,0.6422869563102722,0.41310032915450623,367119.4375
40,0.0,0.2,50,38,0.0012828736369467607,0.6421123147010803,0.44319047691908414,439898.6875
25,0.0,0.25,30,34,0.0008847404392736281,0.6416079998016357,0.4282093316716526,393717.78125
15,0.0,0.25,50,38,0.001039570016146513,0.641268253326416,0.41579227013924003,314887.34375
60,0.05,0.2,10,28,0.0005087257525823362,0.6412597894668579,0.423480495865415,345224.0
10,0.05,0.3,30,33,0.0012386366149830794,0.6402760148048401,0.40255866123542955,135706.859375
60,0.0,0.25,30,28,0.0003317776647276105,0.6400896310806274,0.4301118709306511,400416.09375
25,0.0,0.25,50,38,0.000973214483200991,0.6398137211799622,0.39301319550052066,399833.53125
15,0.05,0.4,5,24,2.2118510981840703e-05,0.6393022537231445,0.4199170032998669,182032.3125
15,0.0,0.4,5,26,0.0,0.6393000483512878,0.39954386371941497,202118.015625
15,0.0,0.4,10,26,0.0,0.6393000483512878,0.39954386371941497,202118.015625
25,0.0,0.2,15,40,0.0007741478843644246,0.6392084360122681,0.38435599290842354,384748.65625
10,0.0,0.2,10,41,0.000663555329455221,0.638959527015686,0.38457325607648263,198494.328125
60,0.05,0.3,30,20,0.00024330362080024774,0.6387927532196045,0.42948888803319923,246233.25
10,0.1,0.1,50,177,0.2900842715268408,0.6387175917625427,0.47476237415629285,604249.4375
60,0.05,0.3,20,20,0.00017694808785472562,0.6386421918869019,0.42947613588509653,246250.265625
10,0.0,0.2,15,42,0.0007077923514189025,0.6385377645492554,0.385537558981862,195102.890625
60,0.05,0.2,5,27,0.00042025170865497336,0.6382837891578674,0.42513784981462766,292501.875
25,0.0,0.1,10,64,0.004976664970914158,0.6377447843551636,0.42729099120642633,445548.78125
15,0.0,0.4,30,25,0.0006414368184733803,0.6376103758811951,0.40527586723820247,210348.875
15,0.0,0.4,50,25,0.0006414368184733803,0.6376103758811951,0.40527586723820247,210348.875
15,0.0,0.4,15,26,2.2118510981840703e-05,0.6374170780181885,0.3995525825916031,202113.59375
60,0.0,0.25,50,30,0.000663555329455221,0.6371150612831116,0.4259902593831526,382262.9375
25,0.05,0.25,50,35,0.0022782066311295922,0.6369667053222656,0.45630721344414293,315298.6875
